loop	totalEnergy	potEnergy	kinEnergy	temperature
0	1.63471	1.50873	0.12598	487.312
1	1.61581	1.48983	0.12598	487.312
2	1.597	1.47102	0.12598	487.312
3	1.57827	1.45229	0.12598	487.312
4	1.55962	1.43364	0.12598	487.312
5	1.54106	1.41508	0.12598	487.312
6	1.52258	1.3966	0.12598	487.312
7	1.50418	1.3782	0.12598	487.312
8	1.48587	1.35989	0.12598	487.312
9	1.46764	1.34166	0.12598	487.312
10	1.44949	1.32351	0.12598	487.312
11	1.43142	1.30544	0.12598	487.312
12	1.41344	1.28746	0.12598	487.312
13	1.39553	1.26955	0.12598	487.312
14	1.37771	1.25173	0.12598	487.312
15	1.35997	1.23399	0.12598	487.312
16	1.3423	1.21632	0.12598	487.312
17	1.32472	1.19874	0.12598	487.312
18	1.30721	1.18123	0.12598	487.312
19	1.28979	1.16381	0.12598	487.312
20	1.27244	1.14646	0.12598	487.312
21	1.25518	1.1292	0.12598	487.312
22	1.23799	1.11201	0.12598	487.312
23	1.22087	1.09489	0.12598	487.312
24	1.20384	1.07786	0.12598	487.312
25	1.18688	1.0609	0.12598	487.312
26	1.17	1.04402	0.12598	487.312
27	1.1532	1.02722	0.12598	487.312
28	1.13647	1.01049	0.12598	487.312
29	1.11982	0.993842	0.12598	487.312
30	1.10325	0.977267	0.12598	487.312
31	1.08675	0.960767	0.12598	487.312
32	1.07032	0.944342	0.12598	487.312
33	1.05397	0.927992	0.12598	487.312
34	1.0377	0.911716	0.12598	487.312
35	1.02149	0.895514	0.12598	487.312
36	1.00537	0.879387	0.12598	487.312
37	0.989313	0.863333	0.12598	487.312
38	0.973332	0.847352	0.12598	487.312
39	0.957424	0.831444	0.12598	487.312
40	0.941589	0.815609	0.12598	487.312
41	0.925826	0.799846	0.12598	487.312
42	0.910135	0.784155	0.12598	487.312
43	0.894516	0.768536	0.12598	487.312
44	0.878969	0.752989	0.12598	487.312
45	0.863493	0.737513	0.12598	487.312
46	0.848088	0.722108	0.12598	487.312
47	0.832753	0.706773	0.12598	487.312
48	0.817489	0.691509	0.12598	487.312
49	0.802295	0.676315	0.12598	487.312
50	0.787171	0.661191	0.12598	487.312
51	0.772116	0.646136	0.12598	487.312
52	0.75713	0.63115	0.12598	487.312
53	0.742214	0.616234	0.12598	487.312
54	0.727366	0.601386	0.12598	487.312
55	0.712586	0.586606	0.12598	487.312
56	0.697875	0.571895	0.12598	487.312
57	0.683231	0.557251	0.12598	487.312
58	0.668655	0.542675	0.12598	487.312
59	0.654147	0.528167	0.12598	487.312
60	0.639705	0.513725	0.12598	487.312
61	0.62533	0.49935	0.12598	487.312
62	0.611021	0.485041	0.12598	487.312
63	0.596779	0.470799	0.12598	487.312
64	0.582603	0.456623	0.12598	487.312
65	0.568492	0.442512	0.12598	487.312
66	0.554447	0.428467	0.12598	487.312
67	0.540467	0.414487	0.12598	487.312
68	0.526552	0.400572	0.12598	487.312
69	0.512702	0.386722	0.12598	487.312
70	0.498916	0.372936	0.12598	487.312
71	0.485194	0.359214	0.12598	487.312
72	0.471535	0.345555	0.12598	487.312
73	0.457941	0.331961	0.12598	487.312
74	0.44441	0.31843	0.12598	487.312
75	0.430941	0.304961	0.12598	487.312
76	0.417536	0.291556	0.12598	487.312
77	0.404193	0.278213	0.12598	487.312
78	0.390913	0.264933	0.12598	487.312
79	0.377694	0.251714	0.12598	487.312
80	0.364538	0.238558	0.12598	487.312
81	0.351443	0.225463	0.12598	487.312
82	0.338409	0.212429	0.12598	487.312
83	0.325436	0.199456	0.12598	487.312
84	0.312524	0.186544	0.12598	487.312
85	0.299673	0.173693	0.12598	487.312
86	0.286882	0.160902	0.12598	487.312
87	0.274151	0.148171	0.12598	487.312
88	0.26148	0.1355	0.12598	487.312
89	0.248869	0.122889	0.12598	487.312
90	0.236317	0.110337	0.12598	487.312
91	0.223824	0.0978439	0.12598	487.312
92	0.21139	0.0854098	0.12598	487.312
93	0.199014	0.0730344	0.12598	487.312
94	0.186697	0.0607173	0.12598	487.312
95	0.174438	0.0484585	0.12598	487.312
96	0.162238	0.0362575	0.12598	487.312
97	0.150094	0.0241143	0.12598	487.312
98	0.138009	0.0120285	0.12598	487.312
99	0.12598	1.38556e-13	0.12598	487.312
100	0.114008	-0.0119715	0.12598	487.312
101	0.102094	-0.0238863	0.12598	487.312
102	0.0902355	-0.0357445	0.12598	487.312
103	0.0784335	-0.0475465	0.12598	487.312
104	0.0666877	-0.0592923	0.12598	487.312
105	0.0549977	-0.0709823	0.12598	487.312
106	0.0433634	-0.0826166	0.12598	487.312
107	0.0317844	-0.0941956	0.12598	487.312
108	0.0202607	-0.105719	0.12598	487.312
109	0.00879188	-0.117188	0.12598	487.312
110	-0.00262218	-0.128602	0.12598	487.312
111	-0.0139817	-0.139962	0.12598	487.312
112	-0.025287	-0.151267	0.12598	487.312
113	-0.0365382	-0.162518	0.12598	487.312
114	-0.0477355	-0.173716	0.12598	487.312
115	-0.0588792	-0.184859	0.12598	487.312
116	-0.0699695	-0.195949	0.12598	487.312
117	-0.0810065	-0.206987	0.12598	487.312
118	-0.0919906	-0.217971	0.12598	487.312
119	-0.102922	-0.228902	0.12598	487.312
120	-0.113801	-0.239781	0.12598	487.312
121	-0.124627	-0.250607	0.12598	487.312
122	-0.135401	-0.261381	0.12598	487.312
123	-0.146124	-0.272104	0.12598	487.312
124	-0.156794	-0.282774	0.12598	487.312
125	-0.167413	-0.293393	0.12598	487.312
126	-0.177981	-0.303961	0.12598	487.312
127	-0.188498	-0.314478	0.12598	487.312
128	-0.198964	-0.324944	0.12598	487.312
129	-0.209379	-0.335359	0.12598	487.312
130	-0.219744	-0.345724	0.12598	487.312
131	-0.230058	-0.356038	0.12598	487.312
132	-0.240322	-0.366302	0.12598	487.312
133	-0.250537	-0.376517	0.12598	487.312
134	-0.260702	-0.386682	0.12598	487.312
135	-0.270817	-0.396797	0.12598	487.312
136	-0.280883	-0.406863	0.12598	487.312
137	-0.2909	-0.41688	0.12598	487.312
138	-0.300869	-0.426849	0.12598	487.312
139	-0.310788	-0.436768	0.12598	487.312
140	-0.320659	-0.446639	0.12598	487.312
141	-0.330482	-0.456462	0.12598	487.312
142	-0.340257	-0.466237	0.12598	487.312
143	-0.349984	-0.475964	0.12598	487.312
144	-0.359663	-0.485643	0.12598	487.312
145	-0.369294	-0.495274	0.12598	487.312
146	-0.378879	-0.504859	0.12598	487.312
147	-0.388416	-0.514396	0.12598	487.312
148	-0.397907	-0.523887	0.12598	487.312
149	-0.40735	-0.53333	0.12598	487.312
150	-0.416747	-0.542727	0.12598	487.312
151	-0.426098	-0.552078	0.12598	487.312
152	-0.435403	-0.561383	0.12598	487.312
153	-0.444661	-0.570641	0.12598	487.312
154	-0.453874	-0.579854	0.12598	487.312
155	-0.463041	-0.589021	0.12598	487.312
156	-0.472163	-0.598143	0.12598	487.312
157	-0.48124	-0.60722	0.12598	487.312
158	-0.490271	-0.616251	0.12598	487.312
159	-0.499258	-0.625238	0.12598	487.312
160	-0.5082	-0.63418	0.12598	487.312
161	-0.517098	-0.643078	0.12598	487.312
162	-0.525951	-0.651931	0.12598	487.312
163	-0.53476	-0.66074	0.12598	487.312
164	-0.543525	-0.669505	0.12598	487.312
165	-0.552246	-0.678226	0.12598	487.312
166	-0.560924	-0.686904	0.12598	487.312
167	-0.569558	-0.695538	0.12598	487.312
168	-0.578149	-0.704129	0.12598	487.312
169	-0.586697	-0.712677	0.12598	487.312
170	-0.595202	-0.721182	0.12598	487.312
171	-0.603665	-0.729645	0.12598	487.312
172	-0.612084	-0.738064	0.12598	487.312
173	-0.620462	-0.746442	0.12598	487.312
174	-0.628797	-0.754777	0.12598	487.312
175	-0.63709	-0.76307	0.12598	487.312
176	-0.645341	-0.771321	0.12598	487.312
177	-0.653551	-0.779531	0.12598	487.312
178	-0.661719	-0.787699	0.12598	487.312
179	-0.669846	-0.795826	0.12598	487.312
180	-0.677931	-0.803911	0.12598	487.312
181	-0.685976	-0.811956	0.12598	487.312
182	-0.693979	-0.819959	0.12598	487.312
183	-0.701942	-0.827922	0.12598	487.312
184	-0.709865	-0.835845	0.12598	487.312
