loop	totalEnergy	potEnergy	kinEnergy	temperature
0	-113.058	-152.197	39.1388	5607.24
1	-112.96	-152.952	39.9927	5729.58
2	-113.037	-153.728	40.6908	5829.59
3	-112.84	-153.795	40.9544	5867.36
4	-113.139	-152.531	39.392	5643.52
5	-112.245	-149.458	37.2134	5331.4
6	-113.17	-152.046	38.8755	5569.52
7	-112.845	-151.342	38.4966	5515.24
8	-112.871	-151.271	38.4001	5501.41
9	-112.706	-150.992	38.2859	5485.05
10	-112.54	-150.611	38.0712	5454.29
11	-112.933	-152.382	39.4485	5651.62
12	-112.294	-152.285	39.9909	5729.33
13	-113.235	-155.628	42.3928	6073.43
14	-112.974	-151.822	38.8487	5565.68
15	-111.833	-146.169	34.3365	4919.24
16	-112.871	-150.9	38.0284	5448.17
17	-112.733	-151.486	38.7524	5551.89
18	-112.345	-148.18	35.835	5133.93
19	-112.292	-146.691	34.3992	4928.23
20	-112.757	-148.318	35.5612	5094.69
21	-112.962	-147.072	34.11	4886.79
22	-111.045	-140.863	29.8175	4271.83
23	-111.937	-145.757	33.82	4845.24
24	-112.147	-148.043	35.8954	5142.58
25	-111.818	-146.404	34.5869	4955.11
26	-111.916	-145.253	33.3366	4775.98
27	-111.755	-145.634	33.879	4853.69
28	-112.013	-146.765	34.7526	4978.86
29	-111.697	-145.324	33.6278	4817.71
30	-112.165	-145.727	33.5616	4808.22
31	-112.013	-145.375	33.3614	4779.54
32	-111.789	-144.74	32.9509	4720.73
33	-112.195	-146.703	34.5079	4943.79
34	-112.025	-147.607	35.5822	5097.71
35	-111.927	-147.741	35.8134	5130.84
36	-111.86	-148.289	36.4286	5218.97
37	-111.952	-150.492	38.5392	5521.34
38	-112.567	-151.993	39.4263	5648.44
39	-111.702	-145.935	34.2335	4904.48
40	-112.136	-143.157	31.0217	4444.34
41	-111.986	-143.593	31.6079	4528.32
42	-112.35	-147.191	34.8407	4991.47
43	-112.561	-147.379	34.8184	4988.27
44	-111.563	-144.026	32.4632	4650.86
45	-112.329	-144.712	32.3836	4639.45
46	-111.354	-142.566	31.2119	4471.59
47	-111.94	-144.719	32.7791	4696.12
48	-111.664	-144.66	32.9953	4727.09
49	-111.596	-145.008	33.4121	4786.8
50	-111.575	-144.616	33.0407	4733.6
51	-111.61	-143.751	32.1409	4604.69
52	-111.478	-142.158	30.6799	4395.38
53	-111.841	-142.358	30.5173	4372.08
54	-111.554	-141.247	29.6929	4253.97
55	-111.54	-141.547	30.0075	4299.05
56	-111.775	-144.242	32.4669	4651.39
57	-111.66	-145.798	34.138	4890.8
58	-111.861	-146.645	34.7843	4983.39
59	-111.588	-145.661	34.0725	4881.42
60	-111.76	-146.452	34.6923	4970.22
61	-111.954	-147.041	35.0864	5026.67
62	-111.585	-143.958	32.3728	4637.91
63	-111.437	-143.751	32.3143	4629.52
64	-112.11	-148.1	35.9895	5156.06
65	-111.878	-148.027	36.1487	5178.86
66	-111.574	-146.79	35.2169	5045.37
67	-111.949	-147.687	35.7382	5120.06
68	-111.733	-145.971	34.2382	4905.16
69	-111.672	-144.549	32.8777	4710.24
70	-111.779	-144.781	33.0025	4728.13
71	-111.535	-144.908	33.3733	4781.25
72	-111.874	-145.83	33.9561	4864.74
73	-111.669	-144.432	32.7629	4693.79
74	-111.559	-143.574	32.0147	4586.61
75	-111.752	-143.829	32.0778	4595.65
76	-111.613	-142.983	31.3695	4494.17
77	-111.855	-143.303	31.4484	4505.47
78	-111.76	-143.035	31.2752	4480.67
79	-111.392	-142.589	31.1978	4469.57
80	-111.92	-144.84	32.9201	4716.31
81	-111.43	-144.395	32.965	4722.75
82	-111.774	-146.456	34.6829	4968.86
83	-112.237	-148.238	36.0015	5157.78
84	-111.207	-145.438	34.2309	4904.11
85	-112.158	-148.536	36.3772	5211.6
86	-111.924	-147.545	35.6219	5103.4
87	-111.549	-145.936	34.3875	4926.55
88	-111.804	-149.001	37.1975	5329.12
89	-111.795	-151.29	39.4954	5658.34
90	-111.879	-151.258	39.3795	5641.74
91	-111.713	-147.659	35.9455	5149.75
92	-111.32	-143.918	32.5984	4670.23
93	-111.795	-144.745	32.9502	4720.64
94	-111.565	-144.806	33.2416	4762.37
95	-111.926	-145.765	33.8392	4848
96	-111.752	-145.037	33.2855	4768.67
97	-111.735	-143.816	32.0808	4596.07
98	-111.666	-142.894	31.2284	4473.96
99	-111.908	-142.693	30.7847	4410.38
100	-111.729	-140.07	28.341	4060.29
101	-111.524	-138.895	27.3713	3921.37
102	-111.856	-141.945	30.0893	4310.76
103	-111.678	-143.959	32.281	4624.76
104	-111.786	-146.106	34.3201	4916.89
105	-111.943	-146.589	34.6459	4963.57
106	-111.679	-144.086	32.4063	4642.72
107	-111.626	-143.518	31.8923	4569.08
108	-111.95	-145.116	33.1654	4751.46
109	-111.723	-145.216	33.4924	4798.31
110	-111.777	-146.212	34.435	4933.35
111	-112.216	-148.403	36.187	5184.36
112	-111.684	-146.787	35.1024	5028.97
113	-111.913	-146.083	34.17	4895.39
114	-111.93	-147.738	35.8087	5130.16
115	-112.078	-150.116	38.0379	5449.53
116	-112.301	-149.253	36.952	5293.96
117	-111.708	-143.706	31.9986	4584.3
118	-111.766	-141.847	30.0804	4309.49
119	-112.022	-143.917	31.8951	4569.47
120	-111.999	-145.668	33.6698	4823.73
121	-112.101	-145.877	33.7757	4838.89
122	-111.571	-143.805	32.2341	4618.03
123	-112.056	-144.802	32.7457	4691.33
124	-111.941	-144.17	32.2291	4617.33
125	-111.809	-142.231	30.4217	4358.39
126	-111.76	-140.942	29.1825	4180.85
127	-111.677	-141.274	29.5967	4240.19
128	-112.016	-143.508	31.4922	4511.75
129	-111.861	-143.351	31.4902	4511.46
130	-111.837	-144.075	32.2374	4618.51
131	-111.992	-145.959	33.967	4866.3
132	-111.844	-145.258	33.414	4787.08
133	-111.672	-144.643	32.9716	4723.69
134	-111.975	-146.99	35.0153	5016.49
135	-112.303	-148.316	36.0127	5159.38
136	-111.657	-145.814	34.157	4893.53
137	-112.25	-147.08	34.8298	4989.91
138	-112.134	-147.654	35.5198	5088.77
139	-112.242	-147.539	35.2971	5056.87
140	-111.747	-146.884	35.1371	5033.94
141	-111.611	-148.462	36.8508	5279.45
142	-112.054	-150.757	38.703	5544.8
143	-111.802	-149.248	37.446	5364.72
144	-111.366	-146.704	35.3381	5062.73
145	-111.767	-148.42	36.6525	5251.04
146	-111.954	-149.311	37.3572	5352
