loop	totalEnergy	potEnergy	kinEnergy	temperature
0	-34728.8	-35745.8	1017.05	849.609
1	-30374.7	-35265.5	4890.72	4085.55
2	-19129.7	-32286	13156.3	10990.4
3	1.43045e+06	34863.5	1.39559e+06	1.16583e+06
4	3.97859e+39	1.876e+19	3.97859e+39	3.32359e+39
5	1.59144e+40	4.59732e+11	1.59144e+40	1.32944e+40
6	1.59144e+40	7.20106e+13	1.59144e+40	1.32944e+40
7	5.61358e+64	4.19976e+30	5.61358e+64	4.6894e+64
8	2.24543e+65	-368.182	2.24543e+65	1.87576e+65
9	2.24543e+65	9.98945e+11	2.24543e+65	1.87576e+65
10	2.24543e+65	-134.004	2.24543e+65	1.87576e+65
11	2.24543e+65	-64.5328	2.24543e+65	1.87576e+65
12	2.24543e+65	6.14119e+11	2.24543e+65	1.87576e+65
13	2.24543e+65	1.02134e+13	2.24543e+65	1.87576e+65
14	2.24543e+65	-167.051	2.24543e+65	1.87576e+65
15	2.24543e+65	-62.2513	2.24543e+65	1.87576e+65
16	2.24543e+65	1.45704e+08	2.24543e+65	1.87576e+65
17	2.24543e+65	25.6229	2.24543e+65	1.87576e+65
18	2.24543e+65	32837.8	2.24543e+65	1.87576e+65
19	2.24543e+65	1.06147e+06	2.24543e+65	1.87576e+65
etime:	139	s	0	0
mass:	1.00794	0	0	0
loops:	20	0	0	0
dt:	0.1	0	0	0
eps:	1	0	0	0
sig:	1	0	0	0
