loop	totalEnergy	potEnergy	kinEnergy	temperature
0	-2010.06	-2198.5	188.442	2847.37
1	-2009.57	-2197.91	188.341	2845.84
2	-2009.06	-2196.7	187.638	2835.22
3	-2008.57	-2195.25	186.681	2820.76
4	-2008.08	-2193.8	185.718	2806.2
5	-2007.61	-2192.37	184.762	2791.76
6	-2007.12	-2190.8	183.684	2775.48
7	-2006.6	-2189.09	182.483	2757.33
8	-2006.07	-2187.54	181.461	2741.89
9	-2005.57	-2186.61	181.039	2735.51
10	-2005.09	-2186.41	181.313	2739.65
11	-2004.62	-2186.56	181.941	2749.13
12	-2004.13	-2186.66	182.531	2758.06
13	-2003.62	-2186.6	182.986	2764.93
14	-2003.1	-2186.6	183.499	2772.68
15	-2002.59	-2186.97	184.382	2786.01
16	-2002.11	-2187.94	185.83	2807.9
17	-2001.65	-2189.4	187.746	2836.84
18	-2001.21	-2190.98	189.768	2867.41
19	-2000.76	-2192.25	191.495	2893.51
20	-2000.3	-2192.97	192.67	2911.25
21	-1999.83	-2193.06	193.237	2919.81
22	-1999.35	-2192.67	193.324	2921.14
23	-1998.86	-2192.07	193.215	2919.48
24	-1998.38	-2191.65	193.274	2920.38
25	-1997.91	-2191.71	193.805	2928.4
26	-1997.47	-2192.35	194.878	2944.62
27	-1997.04	-2193.3	196.26	2965.5
28	-1996.62	-2194.13	197.511	2984.4
29	-1996.19	-2194.4	198.214	2995.03
30	-1995.73	-2193.92	198.188	2994.63
31	-1995.26	-2192.8	197.542	2984.88
32	-1994.79	-2191.36	196.567	2970.14
33	-1994.33	-2189.86	195.529	2954.46
34	-1993.86	-2188.44	194.574	2940.03
35	-1993.39	-2187.18	193.787	2928.13
36	-1992.92	-2186.19	193.268	2920.29
37	-1992.46	-2185.57	193.117	2918.01
38	-1992.01	-2185.33	193.328	2921.2
39	-1991.57	-2185.25	193.68	2926.52
40	-1991.14	-2184.89	193.749	2927.55
41	-1990.7	-2183.8	193.1	2917.75
42	-1990.23	-2181.73	191.508	2893.7
43	-1989.74	-2178.75	189.016	2856.03
44	-1989.24	-2175.07	185.831	2807.91
45	-1988.72	-2170.95	182.233	2753.55
46	-1988.17	-2166.79	178.625	2699.04
47	-1987.6	-2163.23	175.637	2653.88
48	-1987.02	-2161.09	174.064	2630.12
49	-1986.49	-2161.04	174.546	2637.39
50	-1986.02	-2163.16	177.136	2676.53
51	-1985.59	-2166.74	181.147	2737.14
52	-1985.17	-2170.62	185.447	2802.12
53	-1984.73	-2173.72	188.989	2855.64
54	-1984.25	-2175.46	191.206	2889.14
55	-1983.76	-2175.86	192.101	2902.65
56	-1983.26	-2175.33	192.079	2902.32
57	-1982.75	-2174.46	191.703	2896.65
58	-1982.26	-2173.78	191.52	2893.88
59	-1981.78	-2173.74	191.956	2900.47
60	-1981.33	-2174.55	193.217	2919.52
61	-1980.91	-2176.08	195.178	2949.15
62	-1980.5	-2177.89	197.388	2982.54
63	-1980.1	-2179.32	199.219	3010.2
64	-1979.69	-2179.78	200.089	3023.35
65	-1979.26	-2178.89	199.637	3016.53
66	-1978.8	-2176.62	197.825	2989.15
67	-1978.3	-2173.3	194.998	2946.43
68	-1977.79	-2169.64	191.849	2898.85
69	-1977.27	-2166.53	189.262	2859.76
70	-1976.78	-2164.79	188.013	2840.89
71	-1976.33	-2164.74	188.414	2846.95
72	-1975.92	-2166	190.077	2872.07
73	-1975.51	-2167.58	192.064	2902.1
74	-1975.07	-2168.55	193.48	2923.5
75	-1974.58	-2168.6	194.021	2931.67
76	-1974.08	-2168.09	194.006	2931.45
77	-1973.59	-2167.6	194.015	2931.58
78	-1973.12	-2167.63	194.51	2939.06
79	-1972.68	-2168.32	195.638	2956.1
80	-1972.26	-2169.46	197.199	2979.68
81	-1971.85	-2170.62	198.772	3003.45
82	-1971.43	-2171.37	199.945	3021.17
83	-1970.98	-2171.51	200.523	3029.91
84	-1970.53	-2171.12	200.593	3030.97
85	-1970.07	-2170.5	200.435	3028.59
86	-1969.62	-2169.99	200.373	3027.65
87	-1969.17	-2169.83	200.656	3031.92
88	-1968.74	-2170.14	201.407	3043.27
89	-1968.32	-2170.92	202.597	3061.24
90	-1967.92	-2171.93	204.016	3082.69
91	-1967.52	-2172.85	205.328	3102.52
92	-1967.11	-2173.33	206.223	3116.04
93	-1966.7	-2173.24	206.548	3120.94
94	-1966.28	-2172.58	206.301	3117.22
95	-1965.85	-2171.4	205.547	3105.83
96	-1965.41	-2169.86	204.449	3089.24
97	-1964.95	-2168.34	203.393	3073.28
98	-1964.5	-2167.41	202.911	3065.99
99	-1964.08	-2167.41	203.329	3072.31
100	-1963.69	-2168.19	204.504	3090.07
101	-1963.31	-2169.22	205.912	3111.34
102	-1962.91	-2169.89	206.973	3127.37
103	-1962.49	-2169.9	207.408	3133.95
104	-1962.05	-2169.39	207.335	3132.84
105	-1961.63	-2168.64	207.012	3127.96
106	-1961.2	-2167.82	206.621	3122.05
107	-1960.76	-2167.09	206.33	3117.66
108	-1960.33	-2166.71	206.377	3118.37
109	-1959.92	-2166.85	206.927	3126.67
110	-1959.53	-2167.42	207.887	3141.18
111	-1959.14	-2168.06	208.921	3156.8
112	-1958.74	-2168.45	209.708	3168.7
113	-1958.32	-2168.5	210.187	3175.93
114	-1957.9	-2168.42	210.522	3181
115	-1957.49	-2168.38	210.886	3186.49
116	-1957.09	-2168.41	211.317	3193.01
117	-1956.7	-2168.44	211.745	3199.48
118	-1956.3	-2168.38	212.074	3204.45
119	-1955.91	-2168.13	212.227	3206.76
120	-1955.51	-2167.65	212.139	3205.43
121	-1955.12	-2166.86	211.742	3199.44
122	-1954.7	-2165.74	211.039	3188.81
123	-1954.26	-2164.51	210.247	3176.85
124	-1953.83	-2163.62	209.785	3169.87
125	-1953.43	-2163.38	209.946	3172.29
126	-1953.06	-2163.66	210.6	3182.18
127	-1952.69	-2163.98	211.291	3192.61
128	-1952.31	-2163.84	211.531	3196.24
129	-1951.9	-2162.93	211.027	3188.64
130	-1951.47	-2161.27	209.8	3170.09
131	-1951.03	-2159.24	208.212	3146.09
132	-1950.58	-2157.4	206.822	3125.09
133	-1950.16	-2156.23	206.064	3113.64
134	-1949.77	-2155.76	205.995	3112.6
135	-1949.37	-2155.72	206.351	3117.97
136	-1948.96	-2155.81	206.852	3125.55
137	-1948.53	-2156	207.471	3134.89
138	-1948.09	-2156.56	208.468	3149.96
139	-1947.68	-2157.87	210.187	3175.93
140	-1947.32	-2160	212.685	3213.68
141	-1946.99	-2162.47	215.479	3255.9
142	-1946.67	-2164.36	217.689	3289.3
143	-1946.32	-2164.81	218.492	3301.42
144	-1945.92	-2163.46	217.548	3287.17
145	-1945.47	-2160.66	215.187	3251.49
146	-1945	-2157.29	212.286	3207.65
147	-1944.55	-2154.43	209.874	3171.2
148	-1944.14	-2152.75	208.61	3152.11
149	-1943.77	-2152.27	208.507	3150.55
150	-1943.38	-2152.52	209.137	3160.07
151	-1942.99	-2153.07	210.082	3174.36
152	-1942.59	-2153.73	211.143	3190.38
153	-1942.2	-2154.42	212.218	3206.62
154	-1941.82	-2154.95	213.13	3220.4
155	-1941.44	-2155.08	213.648	3228.23
156	-1941.03	-2154.73	213.701	3229.03
157	-1940.6	-2154.11	213.508	3226.12
158	-1940.19	-2153.65	213.459	3225.37
159	-1939.79	-2153.64	213.848	3231.25
160	-1939.4	-2154.14	214.739	3244.71
161	-1939.03	-2155.05	216.026	3264.16
162	-1938.66	-2156.17	217.508	3286.56
163	-1938.31	-2157.2	218.891	3307.46
164	-1937.95	-2157.79	219.832	3321.67
165	-1937.58	-2157.68	220.097	3325.68
166	-1937.19	-2156.91	219.725	3320.05
167	-1936.79	-2155.8	219.016	3309.34
168	-1936.39	-2154.75	218.36	3299.43
169	-1936.02	-2154.01	217.991	3293.85
170	-1935.66	-2153.51	217.85	3291.73
171	-1935.3	-2152.97	217.664	3288.92
172	-1934.93	-2152.09	217.159	3281.28
173	-1934.53	-2150.77	216.236	3267.34
174	-1934.13	-2149.15	215.02	3248.97
175	-1933.72	-2147.49	213.766	3230.02
176	-1933.32	-2146.02	212.702	3213.94
177	-1932.92	-2144.84	211.923	3202.17
178	-1932.52	-2143.92	211.399	3194.25
179	-1932.12	-2143.17	211.045	3188.9
180	-1931.72	-2142.49	210.772	3184.77
181	-1931.32	-2141.83	210.519	3180.95
182	-1930.9	-2141.21	210.31	3177.8
183	-1930.48	-2140.75	210.27	3177.19
184	-1930.07	-2140.63	210.563	3181.62
185	-1929.67	-2140.96	211.282	3192.48
186	-1929.28	-2141.69	212.403	3209.41
187	-1928.89	-2142.75	213.855	3231.36
188	-1928.51	-2144.12	215.617	3257.98
189	-1928.14	-2145.81	217.667	3288.96
190	-1927.79	-2147.64	219.849	3321.92
191	-1927.46	-2149.29	221.835	3351.93
192	-1927.11	-2150.38	223.264	3373.54
193	-1926.76	-2150.67	223.913	3383.33
194	-1926.39	-2150.16	223.776	3381.26
195	-1926	-2149.08	223.079	3370.73
196	-1925.62	-2147.8	222.181	3357.17
197	-1925.24	-2146.64	221.403	3345.42
198	-1924.87	-2145.8	220.931	3338.28
199	-1924.5	-2145.32	220.822	3336.63
200	-1924.13	-2145.19	221.062	3340.25
201	-1923.75	-2145.43	221.681	3349.61
202	-1923.38	-2146.19	222.811	3366.69
203	-1923.03	-2147.56	224.53	3392.65
204	-1922.71	-2149.36	226.653	3424.73
205	-1922.39	-2151.17	228.78	3456.87
206	-1922.06	-2152.61	230.547	3483.58
207	-1921.73	-2153.54	231.808	3502.63
208	-1921.39	-2154	232.606	3514.69
209	-1921.06	-2154.12	233.057	3521.5
210	-1920.74	-2153.96	233.219	3523.95
211	-1920.43	-2153.42	232.984	3520.4
212	-1920.13	-2152.19	232.069	3506.58
213	-1919.8	-2149.99	230.191	3478.19
