loop	totalEnergy	potEnergy	kinEnergy	temperature
0	-30760.6	-32151.9	1391.25	1162.21
1	-27179.5	-34799.4	7619.88	6365.4
2	256243	-11236.5	267480	223444
3	5.71853e+34	2.88807e+17	5.71853e+34	4.77708e+34
4	2.28895e+35	3.37703e+15	2.28895e+35	1.91212e+35
5	2.29356e+35	6.61933e+13	2.29356e+35	1.91596e+35
6	2.29356e+35	6.97282e+11	2.29356e+35	1.91596e+35
7	2.29356e+35	1.32066e+07	2.29356e+35	1.91596e+35
8	2.29356e+35	4.33642e+08	2.29356e+35	1.91596e+35
9	2.29356e+35	0	2.29356e+35	1.91596e+35
10	2.29356e+35	0	2.29356e+35	1.91596e+35
11	2.29356e+35	0	2.29356e+35	1.91596e+35
12	2.29356e+35	0	2.29356e+35	1.91596e+35
13	2.29356e+35	0	2.29356e+35	1.91596e+35
14	2.29356e+35	0	2.29356e+35	1.91596e+35
15	2.29356e+35	0	2.29356e+35	1.91596e+35
16	2.29356e+35	0	2.29356e+35	1.91596e+35
17	2.29356e+35	0	2.29356e+35	1.91596e+35
18	2.29356e+35	0	2.29356e+35	1.91596e+35
19	2.29356e+35	0	2.29356e+35	1.91596e+35
etime:	19	s	0	0
mass:	1.00794	0	0	0
loops:	20	0	0	0
dt:	0.1	0	0	0
eps:	1	0	0	0
sig:	1	0	0	0
cutoff:	5	0	0	0
