loop	totalEnergy	potEnergy	kinEnergy	temperature
0	-3341.13	-3341.14	0.00447538	0.0375115
1	-3341.13	-3341.18	0.0402465	0.337336
2	-3341.13	-3341.25	0.111619	0.935562
3	-3341.13	-3341.35	0.218255	1.82936
4	-3341.13	-3341.49	0.359651	3.0145
5	-3341.13	-3341.67	0.535141	4.48541
6	-3341.14	-3341.88	0.743906	6.23523
7	-3341.14	-3342.12	0.984976	8.25581
8	-3341.14	-3342.39	1.25724	10.5379
9	-3341.14	-3342.69	1.55946	13.071
10	-3341.14	-3343.03	1.89026	15.8437
11	-3341.08	-3343.32	2.24821	18.8439
12	-3341.08	-3343.71	2.63173	22.0585
13	-3340.95	-3343.99	3.03915	25.4734
14	-3340.8	-3344.27	3.46879	29.0745
15	-3340.65	-3344.57	3.91891	32.8473
16	-3340.53	-3344.91	4.38761	36.7758
17	-3340.45	-3345.32	4.87294	40.8438
18	-3340.3	-3345.67	5.37303	45.0353
19	-3340.3	-3346.18	5.88593	49.3343
20	-3340.14	-3346.55	6.40971	53.7245
21	-3340.14	-3347.08	6.94247	58.1899
22	-3340.14	-3347.62	7.48225	62.7142
23	-3339.85	-3347.88	8.02725	67.2824
24	-3339.85	-3348.43	8.57568	71.8791
25	-3339.71	-3348.84	9.12567	76.489
26	-3339.65	-3349.33	9.67553	81.0977
27	-3339.65	-3349.88	10.2237	85.6923
28	-3339.65	-3350.42	10.7686	90.2595
29	-3339.65	-3350.96	11.3088	94.7873
30	-3339.65	-3351.5	11.8429	99.2642
31	-3339.65	-3352.02	12.3697	103.68
32	-3339.65	-3352.54	12.888	108.024
33	-3339.65	-3353.05	13.3968	112.289
34	-3339.65	-3353.55	13.8951	116.465
35	-3339.62	-3354	14.3821	120.547
36	-3339.59	-3354.45	14.8569	124.527
37	-3339.59	-3354.91	15.319	128.4
38	-3339.59	-3355.36	15.7679	132.162
39	-3339.59	-3355.79	16.2031	135.81
40	-3339.59	-3356.21	16.6242	139.34
41	-3339.59	-3356.62	17.0311	142.75
42	-3339.59	-3357.01	17.4235	146.039
43	-3339.59	-3357.39	17.8012	149.205
44	-3339.59	-3357.75	18.1643	152.248
45	-3339.59	-3358.1	18.5127	155.168
46	-3339.59	-3358.44	18.8464	157.965
47	-3339.59	-3358.76	19.1655	160.64
48	-3339.59	-3359.06	19.4702	163.194
49	-3339.59	-3359.35	19.7604	165.627
50	-3339.59	-3359.63	20.0365	167.94
51	-3339.59	-3359.89	20.2984	170.136
52	-3339.65	-3360.2	20.5464	172.215
53	-3339.65	-3360.43	20.7809	174.18
54	-3339.65	-3360.65	21.0016	176.03
55	-3339.51	-3360.72	21.2091	177.769
56	-3339.51	-3360.91	21.4035	179.398
57	-3339.51	-3361.09	21.5844	180.915
58	-3339.51	-3361.26	21.7521	182.32
59	-3339.51	-3361.42	21.9065	183.614
60	-3339.51	-3361.56	22.0478	184.799
61	-3339.51	-3361.69	22.176	185.873
62	-3339.22	-3361.51	22.292	186.845
