loop	totalEnergy	potEnergy	kinEnergy	temperature
0	-30080.8	-30080.8	0.0264486	0.0249015
8	-30080.8	-30088.3	7.50212	7.06328
16	-30079.8	-30106.7	26.8859	25.3132
24	-30077.6	-30132.4	54.8669	51.6574
32	-30075.9	-30163.4	87.4542	82.3386
40	-30075.8	-30196.9	121.121	114.036
48	-30075.4	-30228.7	153.314	144.346
56	-30074.1	-30256.5	182.41	171.74
64	-30072.2	-30279.6	207.423	195.29
72	-30069.7	-30297.6	227.872	214.543
80	-30068.5	-30312.2	243.737	229.479
88	-30065	-30320.5	255.565	240.616
96	-30061.3	-30325.5	264.266	248.807
104	-30057.6	-30328.1	270.498	254.675
112	-30055.1	-30329.9	274.814	258.739
120	-30052.1	-30329.6	277.514	261.281
128	-30049.9	-30328.6	278.737	262.432
136	-30047.6	-30326	278.491	262.2
144	-30045.2	-30322.2	276.936	260.737
152	-30042.4	-30316.9	274.53	258.472
160	-30041.1	-30313.1	271.977	256.067
168	-30039.9	-30310	270.055	254.258
176	-30038	-30307.3	269.312	253.558
184	-30036.7	-30306.7	269.949	254.158
192	-30035.5	-30307.5	271.923	256.017
200	-30034.7	-30309.8	275.105	259.013
208	-30033	-30312.4	279.358	263.017
216	-30032.9	-30317.6	284.726	268.071
224	-30032.1	-30323.5	291.349	274.306
232	-30030.8	-30330.1	299.279	281.773
240	-30030.4	-30338.7	308.273	290.24
248	-30029.7	-30347.5	317.797	299.207
256	-30028.7	-30355.8	327.145	308.008
264	-30028.6	-30364.2	335.61	315.978
272	-30027.6	-30370.2	342.554	322.517
280	-30026.5	-30373.9	347.384	327.064
288	-30025.6	-30375.2	349.656	329.203
296	-30025.9	-30375	349.123	328.701
304	-30025.8	-30371.5	345.765	325.539
312	-30024.7	-30364.4	339.689	319.819
320	-30024.4	-30355.4	331.016	311.653
328	-30024	-30343.9	319.937	301.222
336	-30023	-30329.7	306.624	288.688
344	-30022.8	-30314.1	291.303	274.264
352	-30022.6	-30297	274.389	258.338
360	-30022.5	-30279	256.5	241.496
368	-30022.5	-30260.8	238.313	224.373
376	-30022	-30242.4	220.4	207.508
384	-30022.4	-30225.5	203.124	191.243
392	-30022.5	-30209.1	186.624	175.707
400	-30022	-30193	170.971	160.97
408	-30021.6	-30177.9	156.22	147.082
416	-30021.4	-30163.9	142.485	134.15
424	-30021.7	-30151.8	130.072	122.463
432	-30021.8	-30141.3	119.443	112.456
440	-30022.1	-30133.1	111.009	104.516
448	-30021.9	-30126.8	104.861	98.7271
456	-30022	-30122.6	100.596	94.7112
464	-30022.3	-30119.8	97.5058	91.8022
472	-30021.9	-30116.9	95.027	89.4684
480	-30021.6	-30114.6	93.0405	87.598
488	-30022	-30113.7	91.7488	86.382
496	-30021.4	-30112.7	91.2966	85.9562
504	-30020.8	-30112.2	91.4697	86.1192
512	-30020.1	-30111.9	91.8482	86.4756
520	-30019.4	-30111.6	92.1981	86.805
528	-30019.1	-30111.8	92.664	87.2437
536	-30017.8	-30111.2	93.4006	87.9371
544	-30017.6	-30111.6	94.0156	88.5161
552	-30017.7	-30111.5	93.7811	88.2953
560	-30017.2	-30110.3	93.1473	87.6987
568	-30017	-30110.5	93.5019	88.0325
576	-30016	-30112.1	96.083	90.4627
584	-30014.9	-30117.4	102.455	96.462
592	-30014.4	-30126.3	111.952	105.403
600	-30014.8	-30136	121.238	114.147
608	-30013.7	-30141.6	127.887	120.406
616	-30013.2	-30145.2	132.004	124.283
624	-30013.5	-30148.9	135.344	127.427
632	-30012.9	-30152.3	139.378	131.226
640	-30013.8	-30157.4	143.676	135.271
648	-30013.6	-30160.8	147.155	138.548
656	-30013.5	-30163.4	149.894	141.126
664	-30013.6	-30167.1	153.458	144.482
672	-30013.5	-30173.8	160.238	150.865
680	-30013	-30184.5	171.508	161.475
688	-30013.1	-30198.5	185.4	174.555
696	-30013.9	-30210.9	197.007	185.483
704	-30014.3	-30214	199.709	188.027
712	-30014.6	-30212.2	197.618	186.058
720	-30015.2	-30228.1	212.937	200.481
728	-30016.3	-30247	230.735	217.238
736	-30017.8	-30245.7	227.891	214.561
744	-30017.7	-30229.2	211.494	199.122
752	-30019.3	-30246.3	226.994	213.716
760	-30020.3	-30264.1	243.741	229.483
768	-30021.8	-30268.9	247.125	232.67
776	-30021.7	-30264.1	242.334	228.159
784	-30022.9	-30265.9	243.03	228.814
792	-30023.7	-30283	259.312	244.144
800	-30024.1	-30296.1	272.038	256.125
808	-30024.8	-30298.9	274.092	258.059
816	-30025.9	-30299.1	273.187	257.207
824	-30027.3	-30300.6	273.263	257.278
