loop	totalEnergy	potEnergy	kinEnergy	temperature
0	-3341.13	-3341.14	0.00447538	0.032449
1	-3341.13	-3341.18	0.0402465	0.29181
2	-3341.13	-3341.25	0.111619	0.809301
3	-3341.13	-3341.35	0.218255	1.58247
4	-3341.13	-3341.49	0.359651	2.60767
5	-3341.13	-3341.67	0.535141	3.88007
6	-3341.14	-3341.88	0.743906	5.39373
7	-3341.14	-3342.12	0.984976	7.14163
8	-3341.14	-3342.39	1.25724	9.11569
9	-3341.14	-3342.69	1.55946	11.3069
10	-3341.14	-3343.03	1.89026	13.7054
11	-3341.08	-3343.32	2.24821	16.3008
12	-3341.08	-3343.71	2.63173	19.0815
13	-3340.95	-3343.99	3.03915	22.0356
14	-3340.8	-3344.27	3.46879	25.1507
15	-3340.65	-3344.57	3.91891	28.4143
16	-3340.53	-3344.91	4.38761	31.8127
17	-3340.45	-3345.32	4.87294	35.3316
18	-3340.3	-3345.67	5.37303	38.9574
19	-3340.3	-3346.18	5.88593	42.6763
20	-3340.14	-3346.55	6.40971	46.474
21	-3340.14	-3347.08	6.94247	50.3367
22	-3340.14	-3347.62	7.48225	54.2505
23	-3339.85	-3347.88	8.02725	58.2021
24	-3339.85	-3348.43	8.57568	62.1785
25	-3339.71	-3348.84	9.12567	66.1662
26	-3339.65	-3349.33	9.67553	70.153
27	-3339.65	-3349.88	10.2237	74.1274
28	-3339.65	-3350.42	10.7686	78.0783
29	-3339.65	-3350.96	11.3088	81.995
30	-3339.65	-3351.5	11.8429	85.8678
31	-3339.65	-3352.02	12.3697	89.6874
32	-3339.65	-3352.54	12.888	93.4455
33	-3339.65	-3353.05	13.3968	97.1345
34	-3339.65	-3353.55	13.8951	100.747
35	-3339.62	-3354	14.3821	104.278
36	-3339.59	-3354.45	14.8569	107.721
37	-3339.59	-3354.91	15.319	111.071
38	-3339.59	-3355.36	15.7679	114.326
39	-3339.59	-3355.79	16.2031	117.481
40	-3339.59	-3356.21	16.6242	120.535
41	-3339.59	-3356.62	17.0311	123.485
42	-3339.59	-3357.01	17.4235	126.33
43	-3339.59	-3357.39	17.8012	129.069
44	-3339.59	-3357.75	18.1643	131.701
45	-3339.59	-3358.1	18.5127	134.227
46	-3339.59	-3358.44	18.8464	136.647
47	-3339.59	-3358.76	19.1655	138.961
48	-3339.59	-3359.06	19.4702	141.17
49	-3339.59	-3359.35	19.7604	143.274
50	-3339.59	-3359.63	20.0365	145.276
51	-3339.59	-3359.89	20.2984	147.174
52	-3339.65	-3360.2	20.5464	148.973
53	-3339.65	-3360.43	20.7809	148.997
54	-3339.65	-3360.65	21.0016	150.58
55	-3339.51	-3360.72	21.2091	152.068
56	-3339.51	-3360.91	21.4035	151.773
57	-3339.51	-3361.09	21.5844	153.056
58	-3339.51	-3361.26	21.7521	154.245
59	-3339.51	-3361.42	21.9065	155.34
60	-3339.51	-3361.56	22.0478	156.342
61	-3339.51	-3361.69	22.176	157.251
62	-3339.22	-3361.51	22.292	158.074
63	-3339.22	-3361.62	22.3958	158.81
64	-3339.22	-3361.71	22.487	159.457
65	-3339.09	-3361.66	22.5661	160.017
66	-3339.09	-3361.72	22.6332	160.494
67	-3339.09	-3361.78	22.6885	160.886
68	-3339.09	-3361.82	22.7322	161.195
69	-3339.09	-3361.85	22.7647	161.426
70	-3338.79	-3361.58	22.7866	161.581
71	-3338.79	-3361.59	22.7986	161.666
72	-3338.79	-3361.6	22.8008	161.682
73	-3338.79	-3361.59	22.7938	161.632
74	-3338.79	-3361.57	22.7784	161.523
75	-3338.79	-3361.55	22.7552	161.359
76	-3338.79	-3361.52	22.7249	161.144
77	-3338.79	-3361.48	22.6884	160.885
78	-3338.79	-3361.44	22.6464	161.475
79	-3338.79	-3361.39	22.5997	161.142
80	-3338.79	-3361.34	22.5493	160.783
81	-3338.59	-3361.09	22.4965	160.406
82	-3338.59	-3361.04	22.4422	161.808
83	-3338.53	-3360.91	22.3867	161.408
84	-3338.3	-3360.63	22.3314	161.01
85	-3338.3	-3360.58	22.277	160.618
86	-3338.3	-3360.53	22.224	160.235
87	-3338.3	-3360.48	22.173	159.868
88	-3338.17	-3360.29	22.125	159.521
89	-3338.17	-3360.25	22.0805	159.201
90	-3338.17	-3360.21	22.0403	158.911
91	-3338.04	-3360.04	22.0055	158.66
92	-3337.97	-3359.95	21.9765	158.451
93	-3337.97	-3359.93	21.9534	158.284
94	-3337.84	-3359.78	21.9365	158.162
95	-3337.84	-3359.77	21.9262	158.088
96	-3337.71	-3359.63	21.9231	158.066
97	-3337.71	-3359.63	21.9275	158.098
98	-3337.71	-3359.65	21.9389	156.431
99	-3337.71	-3359.66	21.9575	156.563
100	-3337.71	-3359.69	21.9832	156.746
101	-3337.71	-3359.72	22.0159	156.98
102	-3337.71	-3359.76	22.0557	157.263
103	-3337.54	-3359.65	22.1024	157.596
104	-3337.42	-3359.58	22.156	157.979
105	-3337.42	-3359.64	22.216	158.406
106	-3337.27	-3359.55	22.2821	158.877
107	-3337.27	-3359.62	22.3538	159.388
108	-3337.18	-3359.61	22.4306	159.936
109	-3337.18	-3359.7	22.5122	160.518
110	-3337.18	-3359.78	22.5977	161.128
111	-3337.18	-3359.87	22.6866	161.762
112	-3337.18	-3359.96	22.7783	162.415
113	-3337.09	-3359.96	22.8722	163.085
114	-3337.03	-3360	22.9676	163.765
115	-3337.03	-3360.09	23.0639	164.452
116	-3337.03	-3360.19	23.1604	165.14
117	-3337.03	-3360.29	23.2563	165.824
118	-3337.03	-3360.38	23.3509	166.499
119	-3337.03	-3360.47	23.4436	167.159
120	-3337.03	-3360.56	23.5335	167.8
121	-3337.03	-3360.65	23.62	168.417
122	-3337.03	-3360.73	23.7022	169.003
123	-3337.03	-3360.81	23.7796	169.555
124	-3336.82	-3360.67	23.8515	170.068
125	-3336.98	-3360.89	23.9174	170.537
126	-3336.98	-3360.95	23.9764	170.959
127	-3336.84	-3360.87	24.0282	171.328
128	-3336.84	-3360.91	24.072	171.64
129	-3336.84	-3360.95	24.107	171.89
130	-3336.84	-3360.97	24.1327	172.073
131	-3336.84	-3360.99	24.1486	172.186
132	-3337.01	-3361.16	24.1542	172.226
133	-3337.01	-3361.15	24.1492	172.19
134	-3336.75	-3360.88	24.1336	172.079
135	-3336.72	-3360.83	24.1072	171.891
136	-3336.88	-3360.94	24.0695	171.622
137	-3336.88	-3360.9	24.0203	171.271
138	-3336.88	-3360.83	23.9592	170.836
139	-3336.88	-3360.76	23.8861	170.315
140	-3336.88	-3360.68	23.8012	169.709
141	-3336.81	-3360.52	23.7046	169.02
